Timestamp,Classification,Accuracy
2023-01-31 01:56:13,Synthesizer,33.2
2023-01-31 01:56:14,"Inside, small room",5.86
2023-01-31 01:56:18,Synthesizer,5.86
2023-01-31 01:56:19,Cacophony,8.2
2023-01-31 01:56:22,White noise,5.86
2023-01-31 01:56:23,Microwave oven,5.86
2023-01-31 01:56:26,Sound effect,4.3
2023-01-31 01:56:27,Vehicle,5.86
2023-01-31 01:56:30,Synthesizer,58.59
2023-01-31 01:56:32,"Inside, small room",3.12
2023-01-31 01:56:35,"Domestic animals, pets",10.94
2023-01-31 01:56:36,White noise,8.2
2023-01-31 01:56:39,Synthesizer,10.94
2023-01-31 01:56:40,White noise,5.86
2023-01-31 01:56:43,Microwave oven,5.86
2023-01-31 01:56:44,Synthesizer,26.17
2023-01-31 01:56:48,Vehicle,3.12
2023-01-31 01:56:49,Speech,8.2
2023-01-31 01:56:51,Cacophony,5.86
2023-01-31 01:56:52,Noise,10.94
2023-01-31 01:56:55,Vehicle,5.86
2023-01-31 01:56:57,Speech,5.86
2023-01-31 01:56:59,"Inside, small room",8.2
2023-01-31 01:57:00,"Inside, small room",5.86
2023-01-31 01:57:03,Speech,5.86
2023-01-31 01:57:04,Music,5.86
2023-01-31 01:57:05,Speech,8.2
2023-01-31 01:57:08,Speech,3.12
2023-01-31 01:57:09,White noise,4.3
2023-01-31 01:57:10,Cacophony,14.84
2023-01-31 01:57:13,"Inside, small room",10.94
2023-01-31 01:57:14,Speech,5.86
2023-01-31 01:57:17,Speech,5.86
2023-01-31 01:57:18,Cat,8.2
2023-01-31 01:57:19,Speech,5.86
2023-01-31 01:57:21,"Inside, small room",5.86
2023-01-31 01:57:22,Speech,5.86
2023-01-31 01:57:25,Speech,5.86
2023-01-31 01:57:26,Microwave oven,5.86
2023-01-31 01:57:27,Speech,19.92
2023-01-31 01:57:29,"Inside, small room",8.2
2023-01-31 01:57:31,Synthesizer,14.84
2023-01-31 01:57:34,"Inside, small room",5.86
2023-01-31 01:57:35,"Inside, small room",5.86
2023-01-31 01:57:38,"Inside, small room",8.2
2023-01-31 01:57:39,"Inside, small room",4.3
2023-01-31 01:57:42,"Inside, small room",5.86
2023-01-31 01:57:44,Speech,3.12
2023-01-31 01:57:46,Vehicle,8.2
2023-01-31 01:57:47,"Inside, small room",4.3
2023-01-31 01:57:50,Cat,10.94
2023-01-31 01:57:51,Speech,4.3
2023-01-31 01:57:54,Cat,10.94
2023-01-31 01:57:55,Speech,4.3
2023-01-31 01:57:57,"Inside, small room",5.86
2023-01-31 01:57:58,Synthesizer,19.92
2023-01-31 01:58:01,"Inside, small room",10.94
2023-01-31 01:58:02,Speech,4.3
2023-01-31 01:58:05,"Inside, small room",5.86
2023-01-31 01:58:06,Noise,5.86
2023-01-31 01:58:09,Synthesizer,10.94
2023-01-31 01:58:10,Noise,5.86
2023-01-31 01:58:13,Synthesizer,8.2
2023-01-31 01:58:14,Speech,3.12
2023-01-31 01:58:17,Speech,5.86
2023-01-31 01:58:18,Vehicle,4.3
2023-01-31 01:58:19,Speech,5.86
2023-01-31 01:58:21,Synthesizer,19.92
2023-01-31 01:58:23,Synthesizer,26.17
2023-01-31 01:58:26,Synthesizer,41.41
2023-01-31 01:58:27,"Inside, small room",4.3
2023-01-31 01:58:30,"Inside, small room",4.3
2023-01-31 01:58:31,Speech,4.3
2023-01-31 01:58:34,"Inside, small room",5.86
2023-01-31 01:58:35,Speech,4.3
2023-01-31 01:58:37,Synthesizer,10.94
2023-01-31 01:58:38,Speech,4.3
2023-01-31 01:58:41,Synthesizer,26.17
2023-01-31 01:58:42,Speech,4.3
2023-01-31 01:58:44,Speech,5.86
2023-01-31 01:58:45,Vehicle,5.86
2023-01-31 01:58:47,"Inside, small room",8.2
2023-01-31 01:58:50,Speech,3.12
2023-01-31 01:58:51,Sound effect,4.3
2023-01-31 01:58:52,Speech,14.84
2023-01-31 01:58:55,Synthesizer,5.86
2023-01-31 01:58:56,Noise,10.94
2023-01-31 01:58:59,Speech,5.86
2023-01-31 01:59:00,Speech,4.3
2023-01-31 01:59:01,"Inside, small room",4.3
2023-01-31 01:59:03,Speech,5.86
2023-01-31 01:59:05,Speech,8.2
2023-01-31 01:59:06,Speech,4.3
2023-01-31 01:59:07,Speech,4.3
2023-01-31 01:59:09,Speech,5.86
2023-01-31 01:59:10,Speech,8.2
2023-01-31 01:59:11,Speech,8.2
2023-01-31 01:59:13,Vehicle,5.86
2023-01-31 01:59:14,Sound effect,4.3
2023-01-31 01:59:17,White noise,4.3
2023-01-31 01:59:18,Speech,5.86
2023-01-31 01:59:21,Speech,1.95
2023-01-31 01:59:22,Hum,8.2
2023-01-31 01:59:23,Microwave oven,5.86
2023-01-31 01:59:26,Microwave oven,4.3
2023-01-31 01:59:27,Speech,5.86
2023-01-31 01:59:30,Cacophony,8.2
2023-01-31 01:59:31,Synthesizer,10.94
2023-01-31 01:59:34,"Inside, small room",5.86
2023-01-31 01:59:35,"Inside, small room",5.86
2023-01-31 01:59:38,Cacophony,8.2
2023-01-31 01:59:39,"Inside, small room",5.86
2023-01-31 01:59:42,Synthesizer,33.2
2023-01-31 01:59:44,White noise,10.94
2023-01-31 01:59:47,"Inside, small room",8.2
2023-01-31 01:59:48,Cat,5.86
2023-01-31 01:59:51,"Inside, small room",5.86
2023-01-31 01:59:52,Speech,4.3
2023-01-31 01:59:54,"Inside, small room",8.2
2023-01-31 01:59:56,Speech,3.12
2023-01-31 01:59:58,"Inside, small room",5.86
2023-01-31 01:59:59,Noise,19.92
2023-01-31 02:00:02,Speech,5.86
2023-01-31 02:00:03,Speech,4.3
2023-01-31 02:00:05,Speech,4.3
2023-01-31 02:00:06,Speech,14.84
2023-01-31 02:00:07,"Inside, small room",5.86
2023-01-31 02:00:08,Speech,14.84
2023-01-31 02:00:11,Cat,26.17
2023-01-31 02:00:12,Speech,5.86
2023-01-31 02:00:14,Synthesizer,19.92
2023-01-31 02:00:15,"Inside, small room",5.86
2023-01-31 02:00:19,Synthesizer,14.84
2023-01-31 02:00:20,Speech,8.2
2023-01-31 02:00:22,Speech,10.94
2023-01-31 02:00:23,Speech,4.3
2023-01-31 02:00:25,"Inside, small room",4.3
2023-01-31 02:00:26,Speech,19.92
2023-01-31 02:00:28,"Inside, small room",8.2
2023-01-31 02:00:29,Synthesizer,14.84
2023-01-31 02:00:33,Synthesizer,19.92
2023-01-31 02:00:34,Speech,5.86
2023-01-31 02:00:36,Speech,8.2
2023-01-31 02:00:37,White noise,5.86
2023-01-31 02:00:39,Speech,8.2
2023-01-31 02:00:41,Cat,8.2
2023-01-31 02:00:42,"Inside, small room",5.86
2023-01-31 02:00:45,Explosion,8.2
2023-01-31 02:00:46,Speech,5.86
2023-01-31 02:00:49,"Inside, small room",8.2
2023-01-31 02:00:50,Noise,8.2
2023-01-31 02:00:53,Synthesizer,26.17
2023-01-31 02:00:54,Vehicle,3.12
2023-01-31 02:00:57,"Inside, small room",8.2
2023-01-31 02:00:58,"Inside, small room",4.3
2023-01-31 02:01:02,Synthesizer,14.84
2023-01-31 02:01:03,Speech,3.12
2023-01-31 02:01:05,Music,5.86
2023-01-31 02:01:06,Cacophony,4.3
2023-01-31 02:01:10,Cacophony,14.84
2023-01-31 02:01:11,Noise,14.84
2023-01-31 02:01:14,Synthesizer,26.17
2023-01-31 02:01:15,White noise,4.3
2023-01-31 02:01:18,Speech,8.2
2023-01-31 02:01:19,Speech,3.12
2023-01-31 02:01:21,Speech,5.86
2023-01-31 02:01:22,Speech,5.86
2023-01-31 02:01:23,Speech,19.92
2023-01-31 02:01:25,Speech,10.94
2023-01-31 02:01:26,Speech,8.2
2023-01-31 02:01:27,Speech,4.3
2023-01-31 02:01:29,Speech,10.94
2023-01-31 02:01:30,Speech,8.2
2023-01-31 02:01:31,Speech,3.12
2023-01-31 02:01:33,Speech,8.2
2023-01-31 02:01:34,Speech,3.12
2023-01-31 02:01:35,"Inside, small room",5.86
2023-01-31 02:01:36,Door,5.86
2023-01-31 02:01:40,Cacophony,10.94
2023-01-31 02:01:41,Speech,5.86
2023-01-31 02:01:43,"Inside, small room",10.94
2023-01-31 02:01:44,Speech,8.2
2023-01-31 02:01:46,Cat,8.2
2023-01-31 02:01:48,Noise,10.94
2023-01-31 02:01:51,Microwave oven,4.3
2023-01-31 02:01:52,Speech,3.12
2023-01-31 02:01:54,Synthesizer,10.94
2023-01-31 02:01:55,Speech,4.3
2023-01-31 02:01:58,Synthesizer,5.86
2023-01-31 02:01:59,Speech,4.3
2023-01-31 02:02:01,Speech,8.2
2023-01-31 02:02:02,"Inside, small room",4.3
2023-01-31 02:02:04,Speech,4.3
2023-01-31 02:02:06,"Inside, small room",10.94
2023-01-31 02:02:07,Noise,33.2
2023-01-31 02:02:10,"Inside, small room",5.86
2023-01-31 02:02:11,Speech,3.12
2023-01-31 02:02:14,"Inside, small room",5.86
2023-01-31 02:02:15,Speech,5.86
2023-01-31 02:02:17,"Inside, small room",4.3
2023-01-31 02:02:18,Speech,5.86
2023-01-31 02:02:21,Speech,8.2
2023-01-31 02:02:22,Vehicle,3.12
2023-01-31 02:02:23,"Inside, small room",4.3
2023-01-31 02:02:26,Synthesizer,26.17
2023-01-31 02:02:27,Speech,4.3
2023-01-31 02:02:30,"Inside, small room",4.3
2023-01-31 02:02:31,Speech,4.3
2023-01-31 02:02:33,Keyboard (musical),5.86
2023-01-31 02:02:34,Mechanisms,4.3
2023-01-31 02:02:38,Microwave oven,4.3
2023-01-31 02:02:39,Speech,4.3
2023-01-31 02:02:41,"Inside, small room",5.86
2023-01-31 02:02:42,Speech,5.86
2023-01-31 02:02:45,Speech,8.2
2023-01-31 02:02:46,Vehicle,4.3
2023-01-31 02:02:47,Speech,5.86
2023-01-31 02:02:49,"Inside, small room",5.86
2023-01-31 02:02:50,Synthesizer,8.2
2023-01-31 02:02:54,Speech,5.86
2023-01-31 02:02:55,"Inside, small room",5.86
2023-01-31 02:02:56,Speech,5.86
2023-01-31 02:02:59,Speech,5.86
2023-01-31 02:03:00,Cacophony,5.86
2023-01-31 02:03:01,Aircraft,5.86
2023-01-31 02:03:04,Synthesizer,19.92
2023-01-31 02:03:06,Speech,8.2
2023-01-31 02:03:08,Speech,4.3
2023-01-31 02:03:09,Speech,4.3
2023-01-31 02:03:10,Speech,4.3
2023-01-31 02:03:12,Speech,10.94
2023-01-31 02:03:13,Speech,10.94
2023-01-31 02:03:14,Speech,14.84
2023-01-31 02:03:16,Speech,26.17
2023-01-31 02:03:17,"Inside, small room",8.2
2023-01-31 02:03:18,Speech,19.92
2023-01-31 02:03:21,Speech,8.2
2023-01-31 02:03:22,Speech,3.12
2023-01-31 02:03:23,Speech,5.86
2023-01-31 02:03:25,Speech,5.86
2023-01-31 02:03:26,Speech,14.84
2023-01-31 02:03:27,Speech,4.3
2023-01-31 02:03:29,Speech,4.3
2023-01-31 02:03:30,Speech,5.86
2023-01-31 02:03:31,Speech,19.92
2023-01-31 02:03:33,Vehicle,4.3
2023-01-31 02:03:34,Speech,4.3
2023-01-31 02:03:37,Speech,3.12
2023-01-31 02:03:39,Microwave oven,8.2
2023-01-31 02:03:40,Speech,5.86
2023-01-31 02:04:18,Speech,5.86
2023-01-31 02:04:19,"Inside, small room",4.3
2023-01-31 02:04:21,"Inside, small room",4.3
2023-01-31 02:09:21,Speech,4.3
2023-01-31 02:09:22,Speech,4.3
2023-01-31 02:09:24,Speech,4.3
2023-01-31 02:09:25,Speech,4.3
2023-01-31 02:09:26,Speech,4.3
2023-01-31 02:09:28,Speech,4.3
2023-01-31 02:09:29,Speech,4.3
2023-01-31 02:09:30,Speech,4.3
2023-01-31 02:09:32,Speech,4.3
2023-01-31 02:09:33,Speech,4.3
2023-01-31 02:09:34,Speech,4.3
2023-01-31 02:09:36,Speech,4.3
2023-01-31 02:09:37,Speech,4.3
2023-01-31 02:09:38,Speech,4.3
2023-01-31 02:09:40,Speech,4.3
2023-01-31 02:09:41,Speech,4.3
2023-01-31 02:09:42,Speech,4.3
2023-01-31 02:09:44,Speech,4.3
2023-01-31 02:09:45,Speech,4.3
2023-01-31 02:09:46,Speech,4.3
2023-01-31 02:09:48,Speech,4.3
2023-01-31 02:09:49,Speech,4.3
2023-01-31 02:09:50,Speech,4.3
2023-01-31 02:09:52,Speech,4.3
2023-01-31 02:09:53,Speech,4.3
2023-01-31 02:09:54,Speech,4.3
2023-01-31 02:09:56,Speech,4.3
2023-01-31 02:09:57,Speech,4.3
2023-01-31 02:09:58,Speech,4.3
2023-01-31 02:10:00,Speech,4.3
2023-01-31 02:10:01,Speech,4.3
2023-01-31 02:10:04,Speech,4.3
2023-01-31 02:10:16,Speech,4.3
2023-01-31 02:10:18,Speech,4.3
2023-01-31 02:10:21,Speech,4.3
2023-01-31 02:10:24,Speech,4.3
2023-01-31 02:10:26,Speech,4.3
2023-01-31 02:10:29,Speech,4.3
2023-01-31 02:10:32,Speech,4.3
2023-01-31 02:10:35,Speech,4.3
2023-01-31 02:10:40,Speech,4.3
2023-01-31 02:10:42,Speech,4.3
2023-01-31 02:10:46,Speech,4.3
2023-01-31 02:10:51,Speech,4.3
2023-01-31 02:10:54,Speech,4.3
2023-01-31 02:11:00,Speech,4.3
2023-01-31 02:11:06,Speech,4.3
2023-01-31 02:11:16,Speech,4.3
2023-01-31 02:11:25,Speech,4.3
2023-01-31 02:15:07,Speech,4.3
2023-01-31 02:15:10,Speech,4.3
2023-01-31 02:15:46,Speech,4.3
2023-01-31 02:22:58,Speech,4.3
2023-01-31 02:23:07,Speech,4.3
2023-01-31 02:24:41,Speech,4.3
2023-01-31 02:28:12,Speech,4.3
2023-01-31 02:28:45,Speech,4.3
2023-01-31 02:28:51,Speech,4.3
2023-01-31 02:38:40,Speech,4.3
2023-01-31 02:41:08,Speech,4.3
2023-01-31 02:41:57,Speech,4.3
2023-01-31 02:42:30,Speech,4.3
2023-01-31 02:42:39,Speech,4.3
2023-01-31 02:44:44,Speech,4.3
2023-01-31 02:45:45,Speech,4.3
2023-01-31 02:47:58,Speech,4.3
2023-01-31 02:57:01,Speech,4.3
2023-01-31 03:06:02,Speech,4.3
2023-01-31 03:11:33,Speech,4.3
2023-01-31 03:16:52,Speech,4.3
